,Charter/Cert,Report Date,Inst Type Code,Inst Name,Cash & Deposits,Investments,Net Interest Income,Loans & Leases,Assets,Non-Interest Expense,Liabilities,Liabilities & Equity,Interest Income,Non-Interest Income,Net Income,Deposit Accounts,Employees,Inst Type,Revenue,Cash to Assets,Inv to Assets,Loans to Assets,Interest to Revenue,Non-Interest to Revenue,Net Income to Revenue,Return on Assets,Other Assets,Interest Expense,Other Expense
202,Credit Union_1261,6/30/2024 0:00:00,1,LANGLEY,324.0,260.0,74.0,4557.0,5346.0,76.0,4908.0,5346.0,137.0,38.0,10.0,796158,686.0,Credit Union,175.0,0.06060606060606061,0.048634493078937524,0.8524130190796857,0.7828571428571428,0.21714285714285714,0.05714285714285714,0.0018705574261129816,205.0,63.0,26.0
203,Credit Union_1263,6/30/2024 0:00:00,1,EVANSVILLE FIREFIGHTERS,15.0,0.0,0.0,17.0,32.0,0.0,28.0,32.0,1.0,0.0,0.0,4285,4.0,Credit Union,1.0,0.46875,0.0,0.53125,1.0,0.0,0.0,0.0,0.0,1.0,0.0
204,Credit Union_1273,6/30/2024 0:00:00,1,STATE FARM,15.0,3083.0,19.0,1054.0,4298.0,10.0,3652.0,4298.0,77.0,7.0,15.0,170124,136.0,Credit Union,84.0,0.003489995346672871,0.7173103769194974,0.2452303396928804,0.9166666666666666,0.08333333333333333,0.17857142857142858,0.003489995346672871,146.0,58.0,1.0
206,Credit Union_1309,6/30/2024 0:00:00,1,CROSSPOINT,11.0,69.0,2.0,66.0,155.0,3.0,138.0,155.0,3.0,1.0,0.0,22161,26.0,Credit Union,4.0,0.07096774193548387,0.44516129032258067,0.4258064516129032,0.75,0.25,0.0,0.0,9.0,1.0,0.0
208,Credit Union_1339,6/30/2024 0:00:00,1,BAKERSFIELD CITY EMPLOYEES,2.0,10.0,1.0,17.0,30.0,1.0,28.0,30.0,1.0,0.0,0.0,3400,6.0,Credit Union,1.0,0.06666666666666667,0.3333333333333333,0.5666666666666667,1.0,0.0,0.0,0.0,1.0,0.0,0.0
211,Credit Union_1351,6/30/2024 0:00:00,1,MERCER COUNTY NJ TEACHERS,13.0,11.0,1.0,18.0,46.0,0.0,42.0,46.0,1.0,0.0,1.0,5937,4.0,Credit Union,1.0,0.2826086956521739,0.2391304347826087,0.391304347826087,1.0,0.0,1.0,0.021739130434782608,4.0,0.0,0.0
212,Credit Union_1352,6/30/2024 0:00:00,1,CENTURY HERITAGE,4.0,67.0,4.0,182.0,272.0,4.0,248.0,272.0,6.0,1.0,1.0,34503,44.0,Credit Union,7.0,0.014705882352941176,0.24632352941176472,0.6691176470588235,0.8571428571428571,0.14285714285714285,0.14285714285714285,0.003676470588235294,19.0,2.0,0.0
213,Credit Union_1364,6/30/2024 0:00:00,1,U S #1364,99.0,0.0,3.0,93.0,202.0,2.0,178.0,202.0,4.0,1.0,1.0,22850,32.0,Credit Union,5.0,0.4900990099009901,0.0,0.4603960396039604,0.8,0.2,0.2,0.0049504950495049506,10.0,1.0,1.0
214,Credit Union_1367,6/30/2024 0:00:00,1,UNIVERSITY,382.0,355.0,71.0,3086.0,4121.0,91.0,3804.0,4121.0,91.0,48.0,13.0,695197,759.0,Credit Union,139.0,0.0926959475855375,0.08614413977190002,0.7488473671438971,0.6546762589928058,0.34532374100719426,0.09352517985611511,0.0031545741324921135,298.0,20.0,15.0
215,Credit Union_1397,6/30/2024 0:00:00,1,EDISTO,10.0,0.0,1.0,11.0,22.0,1.0,19.0,22.0,1.0,0.0,0.0,5927,9.0,Credit Union,1.0,0.45454545454545453,0.0,0.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0
216,Credit Union_1399,6/30/2024 0:00:00,1,PITNEY BOWES EMPLOYEES,41.0,3.0,1.0,16.0,61.0,1.0,50.0,61.0,1.0,0.0,0.0,5132,7.0,Credit Union,1.0,0.6721311475409836,0.04918032786885246,0.26229508196721313,1.0,0.0,0.0,0.0,1.0,0.0,0.0
217,Credit Union_1401,6/30/2024 0:00:00,1,HEREFORD TEXAS,15.0,0.0,1.0,49.0,70.0,2.0,54.0,70.0,2.0,1.0,0.0,11904,21.0,Credit Union,3.0,0.21428571428571427,0.0,0.7,0.6666666666666666,0.3333333333333333,0.0,0.0,6.0,1.0,0.0
218,Credit Union_1404,6/30/2024 0:00:00,1,NASSAU FINANCIAL,32.0,83.0,5.0,199.0,342.0,7.0,334.0,342.0,7.0,1.0,0.0,32112,68.0,Credit Union,8.0,0.0935672514619883,0.24269005847953215,0.5818713450292398,0.875,0.125,0.0,0.0,28.0,2.0,-1.0
219,Credit Union_1407,6/30/2024 0:00:00,1,DEMOCRACY,10.0,14.0,3.0,145.0,187.0,5.0,173.0,187.0,5.0,2.0,0.0,23675,32.0,Credit Union,7.0,0.053475935828877004,0.0748663101604278,0.7754010695187166,0.7142857142857143,0.2857142857142857,0.0,0.0,18.0,2.0,0.0
220,Credit Union_1409,6/30/2024 0:00:00,1,RAIZ,80.0,19.0,19.0,827.0,998.0,24.0,893.0,998.0,27.0,10.0,2.0,121204,226.0,Credit Union,37.0,0.08016032064128256,0.01903807615230461,0.8286573146292585,0.7297297297297297,0.2702702702702703,0.05405405405405406,0.002004008016032064,72.0,8.0,3.0
221,Credit Union_1410,6/30/2024 0:00:00,1,MIDSOUTH COMMUNITY,34.0,84.0,8.0,311.0,455.0,8.0,409.0,455.0,11.0,5.0,3.0,78131,103.0,Credit Union,16.0,0.07472527472527472,0.18461538461538463,0.6835164835164835,0.6875,0.3125,0.1875,0.006593406593406593,26.0,3.0,2.0
222,Credit Union_1427,6/30/2024 0:00:00,1,MIDWEST AMERICA,78.0,88.0,13.0,629.0,857.0,14.0,735.0,857.0,20.0,7.0,5.0,100494,179.0,Credit Union,27.0,0.09101516919486581,0.10268378063010501,0.733955659276546,0.7407407407407407,0.25925925925925924,0.18518518518518517,0.005834305717619603,62.0,7.0,1.0
223,Credit Union_1438,6/30/2024 0:00:00,1,LONG BEACH CITY EMPLOYEES,0.0,141.0,2.0,115.0,281.0,3.0,256.0,281.0,3.0,0.0,-0.0,17156,24.0,Credit Union,3.0,0.0,0.501779359430605,0.4092526690391459,1.0,0.0,-0.0,-0.0,25.0,1.0,-1.0
226,Credit Union_1461,6/30/2024 0:00:00,1,LEOMINSTER EMPLOYEES,12.0,0.0,0.0,13.0,25.0,0.0,22.0,25.0,1.0,0.0,0.0,3321,4.0,Credit Union,1.0,0.48,0.0,0.52,1.0,0.0,0.0,0.0,0.0,1.0,0.0
228,Credit Union_1472,6/30/2024 0:00:00,1,PALMETTO CITIZENS,162.0,308.0,21.0,761.0,1304.0,24.0,1152.0,1304.0,28.0,12.0,7.0,193941,295.0,Credit Union,40.0,0.12423312883435583,0.2361963190184049,0.5835889570552147,0.7,0.3,0.175,0.005368098159509203,73.0,7.0,2.0
229,Credit Union_1476,6/30/2024 0:00:00,1,ERIE,52.0,199.0,12.0,493.0,797.0,15.0,752.0,797.0,19.0,5.0,1.0,139700,209.0,Credit Union,24.0,0.06524466750313676,0.24968632371392724,0.6185696361355082,0.7916666666666666,0.20833333333333334,0.041666666666666664,0.0012547051442910915,53.0,7.0,1.0
230,Credit Union_1493,6/30/2024 0:00:00,1,F & A,132.0,1250.0,15.0,1053.0,2618.0,12.0,2372.0,2618.0,42.0,8.0,10.0,111551,110.0,Credit Union,50.0,0.05042016806722689,0.4774637127578304,0.4022154316271963,0.84,0.16,0.2,0.0038197097020626434,183.0,27.0,1.0
231,Credit Union_1499,6/30/2024 0:00:00,1,PUEBLO GOVERNMENT AGENCIES,31.0,0.0,1.0,11.0,42.0,1.0,38.0,42.0,1.0,0.0,0.0,6534,11.0,Credit Union,1.0,0.7380952380952381,0.0,0.2619047619047619,1.0,0.0,0.0,0.0,0.0,0.0,0.0
232,Credit Union_1509,6/30/2024 0:00:00,1,ALCOA TENN,78.0,68.0,6.0,228.0,397.0,6.0,356.0,397.0,8.0,2.0,2.0,45107,77.0,Credit Union,10.0,0.1964735516372796,0.1712846347607053,0.5743073047858942,0.8,0.2,0.2,0.005037783375314861,23.0,2.0,0.0
233,Credit Union_1520,6/30/2024 0:00:00,1,TENNESSEE VALLEY,626.0,65.0,51.0,1954.0,2735.0,43.0,2353.0,2735.0,69.0,18.0,23.0,290004,493.0,Credit Union,87.0,0.22888482632541132,0.02376599634369287,0.7144424131627056,0.7931034482758621,0.20689655172413793,0.26436781609195403,0.008409506398537478,90.0,18.0,3.0
234,Credit Union_1542,6/30/2024 0:00:00,1,GNC COMMUNITY,4.0,25.0,1.0,44.0,78.0,2.0,66.0,78.0,2.0,1.0,0.0,20536,16.0,Credit Union,3.0,0.05128205128205128,0.32051282051282054,0.5641025641025641,0.6666666666666666,0.3333333333333333,0.0,0.0,5.0,1.0,0.0
236,Credit Union_1558,6/30/2024 0:00:00,1,KERR COUNTY,18.0,0.0,3.0,117.0,143.0,3.0,131.0,143.0,4.0,1.0,1.0,23692,44.0,Credit Union,5.0,0.1258741258741259,0.0,0.8181818181818182,0.8,0.2,0.2,0.006993006993006993,8.0,1.0,0.0
237,Credit Union_1584,6/30/2024 0:00:00,1,MEMBERS TRUST OF THE SOUTHWEST,29.0,22.0,2.0,175.0,238.0,3.0,225.0,238.0,6.0,1.0,0.0,15803,29.0,Credit Union,7.0,0.12184873949579832,0.09243697478991597,0.7352941176470589,0.8571428571428571,0.14285714285714285,0.0,0.0,12.0,4.0,0.0
240,Credit Union_1607,6/30/2024 0:00:00,1,BIG ISLAND,96.0,18.0,2.0,50.0,167.0,2.0,151.0,167.0,3.0,1.0,1.0,17920,30.0,Credit Union,4.0,0.5748502994011976,0.10778443113772455,0.2994011976047904,0.75,0.25,0.25,0.005988023952095809,3.0,1.0,0.0
241,Credit Union_1621,6/30/2024 0:00:00,1,HOMETOWN,11.0,0.0,1.0,25.0,37.0,1.0,27.0,37.0,1.0,0.0,1.0,6758,10.0,Credit Union,1.0,0.2972972972972973,0.0,0.6756756756756757,1.0,0.0,1.0,0.02702702702702703,1.0,0.0,-1.0
242,Credit Union_1644,6/30/2024 0:00:00,1,CORNING,276.0,75.0,33.0,2024.0,2353.0,38.0,2102.0,2353.0,56.0,20.0,11.0,295844,398.0,Credit Union,76.0,0.11729706757331067,0.03187420314492138,0.8601784955376116,0.7368421052631579,0.2631578947368421,0.14473684210526316,0.004674883127921802,-22.0,23.0,4.0
244,Credit Union_1658,6/30/2024 0:00:00,1,WHEATLAND,12.0,4.0,1.0,49.0,68.0,1.0,62.0,68.0,2.0,0.0,-0.0,10059,14.0,Credit Union,2.0,0.17647058823529413,0.058823529411764705,0.7205882352941176,1.0,0.0,-0.0,-0.0,3.0,1.0,0.0
248,Credit Union_1682,6/30/2024 0:00:00,1,LIBERTY,550.0,71.0,38.0,3090.0,4111.0,61.0,3772.0,4111.0,86.0,38.0,13.0,492209,772.0,Credit Union,124.0,0.13378739965945025,0.017270737046947215,0.7516419362685478,0.6935483870967742,0.3064516129032258,0.10483870967741936,0.0031622476283142786,400.0,48.0,2.0
249,Credit Union_1717,6/30/2024 0:00:00,1,HAWAIIAN FINANCIAL,79.0,250.0,9.0,578.0,938.0,10.0,846.0,938.0,16.0,5.0,4.0,72522,92.0,Credit Union,21.0,0.08422174840085288,0.26652452025586354,0.6162046908315565,0.7619047619047619,0.23809523809523808,0.19047619047619047,0.0042643923240938165,31.0,7.0,0.0
250,Credit Union_1718,6/30/2024 0:00:00,1,HAWAII STATE,176.0,735.0,33.0,1294.0,2402.0,37.0,2220.0,2402.0,46.0,18.0,13.0,227030,370.0,Credit Union,64.0,0.07327227310574522,0.30599500416319736,0.5387177352206495,0.71875,0.28125,0.203125,0.005412156536219817,197.0,13.0,1.0
